类别,歌手,歌曲数,平均歌词长度,歌词总字符数
最长10位,Utada,20,1794.7,35894
最长10位,JENNIE,19,1708.05,32453
最长10位,SawanoHiroyuki[nZk],20,1563.55,31271
最长10位,ROSÉ,20,1509.8,30196
最长10位,DJ OKAWARI,6,1499.33,8996
最长10位,宋雨琦 (YUQI),18,1393.28,25079
最长10位,G-DRAGON,20,1165.9,23318
最长10位,青山テルマ,20,1133.9,22678
最长10位,當山みれい,19,1018.21,19346
最长10位,ピノキオピー,20,988.1,19762
最短10位,矢野立美,3,156.0,468
最短10位,邓丽君,20,185.5,3710
最短10位,高胜美,20,247.3,4946
最短10位,韩宝仪,18,251.17,4521
最短10位,陈百强,20,253.75,5075
最短10位,刘珂矣,19,286.89,5451
最短10位,王艳薇,20,305.5,6110
最短10位,채연,17,311.65,5298
最短10位,卓依婷,20,311.95,6239
最短10位,张国荣,19,313.16,5950
